dia,kl_mean,kl_max,vfe_global,vfe_tribe_mean,imi,n_alive,n_tribes,n_structures
0,0.056004121610505185,0.24682527935003873,0.6365141667363652,0.0,0.0,15,15,0
1,0.05431018604240205,0.23344400026554396,1.3339132340888633,0.9942202428775884,0.0,15,15,0
2,0.053825433329235034,0.23112423276492355,1.3862943570213462,1.1433548391238348,0.0,15,15,0
3,0.05198925221265049,0.2171355963646624,1.3862943570213462,1.21913786767491,0.0,15,15,0
4,0.04958144451949229,0.20415310037486756,1.386243340950281,1.2506971825690747,0.0,15,15,0
5,0.049075238792260986,0.20355988684573312,1.3862943570213462,1.2495598923310272,0.0,15,15,0
0,0.056004121610505185,0.24682527935003873,0.6365141667363652,0.0,0.0,15,15,0
1,0.05431018604240205,0.23344400026554396,1.3339132340888633,0.9942202428775884,0.0,15,15,0
2,0.053825433329235034,0.23112423276492355,1.3862943570213462,1.1433548391238348,0.0,15,15,0
3,0.05198925221265049,0.2171355963646624,1.3862943570213462,1.21913786767491,0.0,15,15,0
4,0.04958144451949229,0.20415310037486756,1.386243340950281,1.2506971825690747,0.0,15,15,0
5,0.049075238792260986,0.20355988684573312,1.3862943570213462,1.2495598923310272,0.0,15,15,0
0,0.056004121610505185,0.24682527935003873,0.6365141667363652,0.0,0.0,15,15,0
1,0.05431018604240205,0.23344400026554396,1.3339132340888633,0.9942202428775884,0.0,15,15,0
2,0.053825433329235034,0.23112423276492355,1.3862943570213462,1.1433548391238348,0.0,15,15,0
3,0.05198925221265049,0.2171355963646624,1.3862943570213462,1.21913786767491,0.0,15,15,0
0,0.056004121610505185,0.24682527935003873,0.6365141667363652,0.0,0.0,15,15,0
1,0.05431018604240205,0.23344400026554396,1.3339132340888633,0.9942202428775884,0.0,15,15,0
2,0.053825433329235034,0.23112423276492355,1.3862943570213462,1.1433548391238348,0.0,15,15,0
0,0.056004121610505185,0.24682527935003873,0.6365141667363652,0.0,0.0,15,15,0
1,0.05431018604240205,0.23344400026554396,1.3339132340888633,0.9942202428775884,0.0,15,15,0
2,0.053825433329235034,0.23112423276492355,1.3862943570213462,1.1433548391238348,0.0,15,15,0
0,0.056004121610505185,0.24682527935003873,0.6365141667363652,0.0,0.0,15,15,0
1,0.05431018604240205,0.23344400026554396,1.3339132340888633,0.9942202428775884,0.0,15,15,0
2,0.053825433329235034,0.23112423276492355,1.3862943570213462,1.1433548391238348,0.0,15,15,0
3,0.05198925221265049,0.2171355963646624,1.3862943570213462,1.21913786767491,0.0,15,15,0
0,0.056004121610505185,0.24682527935003873,0.6365141667363652,0.0,0.0,15,15,0
1,0.05431018604240205,0.23344400026554396,1.3339132340888633,0.9942202428775884,0.0,15,15,0
2,0.053825433329235034,0.23112423276492355,1.3862943570213462,1.1433548391238348,0.0,15,15,0
3,0.05198925221265049,0.2171355963646624,1.3862943570213462,1.21913786767491,0.0,15,15,0
0,0.056004121610505185,0.24682527935003873,0.6365141667363652,0.0,0.0,15,15,0
1,0.05431018604240205,0.23344400026554396,1.3339132340888633,0.9942202428775884,0.0,15,15,0
2,0.053825433329235034,0.23112423276492355,1.3862943570213462,1.1433548391238348,0.0,15,15,0
3,0.05198925221265049,0.2171355963646624,1.3862943570213462,1.21913786767491,0.0,15,15,0
4,0.050571288697059534,0.20712202459839266,1.386243340950281,1.23569318816658,0.0,15,15,0
5,0.05026298313985098,0.20228810971930927,1.3861532962781844,1.2374317254843257,0.0,15,15,0
0,0.056004121610505185,0.24682527935003873,0.6365141667363652,0.0,0.0,15,15,0
1,0.05431018604240205,0.23344400026554396,1.3339132340888633,0.9942202428775884,0.0,15,15,0
2,0.053825433329235034,0.23112423276492355,1.3862943570213462,1.1433548391238348,0.0,15,15,0
3,0.05198925221265049,0.2171355963646624,1.3862943570213462,1.21913786767491,0.0,15,15,0
4,0.04958144451949229,0.20415310037486756,1.386243340950281,1.2506971825690747,0.0,15,15,0
5,0.049075238792260986,0.20355988684573312,1.3862943570213462,1.2495598923310272,0.0,15,15,0
0,0.056004121610505185,0.24682527935003873,0.6365141667363652,0.0,0.0,15,15,0
1,0.05431018604240205,0.23344400026554396,1.3339132340888633,0.9942202428775884,0.0,15,15,0
2,0.053825433329235034,0.23112423276492355,1.3862943570213462,1.1433548391238348,0.0,15,15,0
3,0.05198925221265049,0.2171355963646624,1.3862943570213462,1.21913786767491,0.0,15,15,0
4,0.04958144451949229,0.20415310037486756,1.386243340950281,1.2506971825690747,0.0,15,15,0
5,0.049075238792260986,0.20355988684573312,1.3862943570213462,1.2495598923310272,0.0,15,15,0
0,0.056004121610505185,0.24682527935003873,0.6365141667363652,0.0,0.0,15,15,0
1,0.05431018604240205,0.23344400026554396,1.3339132340888633,0.9942202428775884,0.0,15,15,0
0,0.056004121610505185,0.24682527935003873,0.6365141667363652,0.0,0.0,15,15,0
1,0.05431018604240205,0.23344400026554396,1.3339132340888633,0.9942202428775884,0.0,15,15,0
2,0.053825433329235034,0.23112423276492355,1.3862943570213462,1.1433548391238348,0.0,15,15,0
0,0.056004121610505185,0.24682527935003873,0.6365141667363652,0.0,0.0,15,15,0
1,0.05431018604240205,0.23344400026554396,1.3339132340888633,0.9942202428775884,0.0,15,15,0
2,0.053825433329235034,0.23112423276492355,1.3862943570213462,1.1433548391238348,0.0,15,15,0
0,0.056004121610505185,0.24682527935003873,0.6365141667363652,0.0,0.0,15,15,0
1,0.05431018604240205,0.23344400026554396,1.3339132340888633,0.9942202428775884,0.0,15,15,0
2,0.053825433329235034,0.23112423276492355,1.3862943570213462,1.1433548391238348,0.0,15,15,0
3,0.05198925221265049,0.2171355963646624,1.3862943570213462,1.21913786767491,0.0,15,15,0
4,0.05081304190186424,0.21202324013987814,1.386243340950281,1.2579531355748628,0.0,15,15,0
5,0.050426866342926646,0.21096679917204986,1.3860903239668563,1.2603695451121664,0.0,15,15,0
0,0.056004121610505185,0.24682527935003873,0.6365141667363652,0.0,0.0,15,15,0
1,0.05431018604240205,0.23344400026554396,1.3339132340888633,0.9942202428775884,0.0,15,15,0
2,0.053825433329235034,0.23112423276492355,1.3862943570213462,1.1433548391238348,0.0,15,15,0
3,0.05198925221265049,0.2171355963646624,1.3862943570213462,1.21913786767491,0.0,15,15,0
4,0.04958144451949229,0.20415310037486756,1.386243340950281,1.2506971825690747,0.0,15,15,0
5,0.049075238792260986,0.20355988684573312,1.3862943570213462,1.2495598923310272,0.0,15,15,0
6,0.04866442012696405,0.19853879061313562,1.3862943570213462,1.249481075776347,0.0,15,15,0
7,0.047532793686318325,0.19080263173005918,1.386243340950281,1.2507943190461437,0.0,15,15,0
8,0.0478282956123371,0.18910152252827075,1.3861532962781844,1.2504737741971799,0.0,15,15,0
9,0.04757808428465596,0.18757328907055767,1.3862943570213462,1.2653546692434015,0.0,15,15,0
10,0.04758238238088766,0.18582177859984403,1.3862943570213462,1.2767752784574324,0.0,15,15,0
11,0.04645499724632713,0.17838914281470442,1.3862943570213462,1.2777478868487653,0.0,15,15,0
12,0.0462628837652563,0.17342560778595278,1.3862563511699717,1.2820638760484298,0.0,15,15,0
13,0.04641774611946419,0.17222024160159877,1.3861923248792065,1.280670279540433,0.0,15,15,0
14,0.04589564798804191,0.17189160484936583,1.3860497264792602,1.28030260260493,0.0,15,15,0
